content,label
このサービスは素晴らしい！おすすめです,FAVOR
最高の体験でした！,FAVOR
とても良い商品だと思います,FAVOR
完璧な対応でした,FAVOR
問題が多すぎる。使えない,AGAINST
最悪のサービスだ,AGAINST
二度と利用したくない,AGAINST
ひどい対応でした,AGAINST
普通だと思います,NEUTRAL
特に問題はない,NEUTRAL
可もなく不可もなく,NEUTRAL
まあまあです,NEUTRAL
このサービスは素晴らしい！おすすめです,FAVOR
最高の体験でした！,FAVOR
とても良い商品だと思います,FAVOR
完璧な対応でした,FAVOR
問題が多すぎる。使えない,AGAINST
最悪のサービスだ,AGAINST
二度と利用したくない,AGAINST
ひどい対応でした,AGAINST
普通だと思います,NEUTRAL
特に問題はない,NEUTRAL
可もなく不可もなく,NEUTRAL
まあまあです,NEUTRAL
このサービスは素晴らしい！おすすめです,FAVOR
最高の体験でした！,FAVOR
とても良い商品だと思います,FAVOR
完璧な対応でした,FAVOR
問題が多すぎる。使えない,AGAINST
最悪のサービスだ,AGAINST
二度と利用したくない,AGAINST
ひどい対応でした,AGAINST
普通だと思います,NEUTRAL
特に問題はない,NEUTRAL
可もなく不可もなく,NEUTRAL
まあまあです,NEUTRAL
このサービスは素晴らしい！おすすめです,FAVOR
最高の体験でした！,FAVOR
とても良い商品だと思います,FAVOR
完璧な対応でした,FAVOR
問題が多すぎる。使えない,AGAINST
最悪のサービスだ,AGAINST
二度と利用したくない,AGAINST
ひどい対応でした,AGAINST
普通だと思います,NEUTRAL
特に問題はない,NEUTRAL
可もなく不可もなく,NEUTRAL
まあまあです,NEUTRAL
このサービスは素晴らしい！おすすめです,FAVOR
最高の体験でした！,FAVOR
とても良い商品だと思います,FAVOR
完璧な対応でした,FAVOR
問題が多すぎる。使えない,AGAINST
最悪のサービスだ,AGAINST
二度と利用したくない,AGAINST
ひどい対応でした,AGAINST
普通だと思います,NEUTRAL
特に問題はない,NEUTRAL
可もなく不可もなく,NEUTRAL
まあまあです,NEUTRAL
このサービスは素晴らしい！おすすめです,FAVOR
最高の体験でした！,FAVOR
とても良い商品だと思います,FAVOR
完璧な対応でした,FAVOR
問題が多すぎる。使えない,AGAINST
最悪のサービスだ,AGAINST
二度と利用したくない,AGAINST
ひどい対応でした,AGAINST
普通だと思います,NEUTRAL
特に問題はない,NEUTRAL
可もなく不可もなく,NEUTRAL
まあまあです,NEUTRAL
このサービスは素晴らしい！おすすめです,FAVOR
最高の体験でした！,FAVOR
とても良い商品だと思います,FAVOR
完璧な対応でした,FAVOR
問題が多すぎる。使えない,AGAINST
最悪のサービスだ,AGAINST
二度と利用したくない,AGAINST
ひどい対応でした,AGAINST
普通だと思います,NEUTRAL
特に問題はない,NEUTRAL
可もなく不可もなく,NEUTRAL
まあまあです,NEUTRAL
このサービスは素晴らしい！おすすめです,FAVOR
最高の体験でした！,FAVOR
とても良い商品だと思います,FAVOR
完璧な対応でした,FAVOR
問題が多すぎる。使えない,AGAINST
最悪のサービスだ,AGAINST
二度と利用したくない,AGAINST
ひどい対応でした,AGAINST
普通だと思います,NEUTRAL
特に問題はない,NEUTRAL
可もなく不可もなく,NEUTRAL
まあまあです,NEUTRAL
このサービスは素晴らしい！おすすめです,FAVOR
最高の体験でした！,FAVOR
とても良い商品だと思います,FAVOR
完璧な対応でした,FAVOR
問題が多すぎる。使えない,AGAINST
最悪のサービスだ,AGAINST
二度と利用したくない,AGAINST
ひどい対応でした,AGAINST
普通だと思います,NEUTRAL
特に問題はない,NEUTRAL
可もなく不可もなく,NEUTRAL
まあまあです,NEUTRAL
このサービスは素晴らしい！おすすめです,FAVOR
最高の体験でした！,FAVOR
とても良い商品だと思います,FAVOR
完璧な対応でした,FAVOR
問題が多すぎる。使えない,AGAINST
最悪のサービスだ,AGAINST
二度と利用したくない,AGAINST
ひどい対応でした,AGAINST
普通だと思います,NEUTRAL
特に問題はない,NEUTRAL
可もなく不可もなく,NEUTRAL
まあまあです,NEUTRAL
